scenario,x_value,seed,method,metric,value,users,rbs,samples_per_user,round,objective,selected_mass,mean_packet_error,matching_work_units,fractional_mass_ratio,runtime_seconds
linear_samples,10,0,Paper-Hungarian,linear_regression_mse,0.0101294577,15,12,10,0,32.5815593169,12.0000000000,0.0215129943,2340.0000000000,0.0000000000,0.0000594999
linear_samples,10,0,Paper-OptUser-RandomRB,linear_regression_mse,0.0321507882,15,12,10,0,104.6821535498,5.0000000000,0.0936430710,180.0000000000,0.0000000000,0.0000529999
linear_samples,10,0,Paper-RandomUserRB,linear_regression_mse,0.0029876615,15,12,10,0,49.7225734424,12.0000000000,0.1643547787,180.0000000000,0.0000000000,0.0000388001
linear_samples,10,0,Paper-Wireless-PER,linear_regression_mse,0.0101294577,15,12,10,0,32.5815593169,12.0000000000,0.0215129943,2340.0000000000,0.0000000000,0.0000195999
linear_samples,10,0,LP-Relax+Projection,linear_regression_mse,0.0101294577,15,12,10,0,32.5815593169,12.0000000000,0.0215129943,2340.0000000000,0.0000000000,0.0040684000
linear_samples,10,0,Hybrid-Score-Greedy(alpha=0.25),linear_regression_mse,0.0048040598,15,12,10,0,33.6509274314,12.0000000000,0.0304243953,23128.5335573393,0.0000000000,0.0016137999
linear_samples,10,0,Continuous-LP(HiGHS),linear_regression_mse,0.0101294577,15,12,10,0,32.5815593169,12.0000000000,0.0215129943,32580.0000000000,0.0000000000,0.0026229999
linear_samples,10,0,Soft-Entropy-KKT(tau=1),linear_regression_mse,0.0052893557,15,12,10,0,37.7375155301,11.9933374080,0.0639595915,729180.0000000000,1.0000000000,0.0005462999
linear_samples,10,1,Paper-Hungarian,linear_regression_mse,0.0027296471,15,12,10,0,31.4188907328,12.0000000000,0.0118240894,2340.0000000000,0.0000000000,0.0000337001
linear_samples,10,1,Paper-OptUser-RandomRB,linear_regression_mse,0.0044941104,15,12,10,0,67.2678047302,9.0000000000,0.0807533859,180.0000000000,0.0000000000,0.0000702001
linear_samples,10,1,Paper-RandomUserRB,linear_regression_mse,0.0035195608,15,12,10,0,57.9085853480,12.0000000000,0.2325715446,180.0000000000,0.0000000000,0.0000298000
linear_samples,10,1,Paper-Wireless-PER,linear_regression_mse,0.0027296471,15,12,10,0,31.4188907328,12.0000000000,0.0118240894,2340.0000000000,0.0000000000,0.0000211000
