scenario,x_value,method,metric,runs,value_mean,value_std,objective_mean,selected_mass_mean,mean_packet_error_mean,matching_work_units_mean,fractional_mass_ratio_mean,runtime_seconds_mean
convergence_users,10,Continuous-LP(HiGHS),normalized_convergence_gap,3,0.0188192148,0.0083299472,23.0006205770,10.0000000000,0.0202356571,14520.0000000000,0.0000000000,0.0020487333
convergence_users,10,Hybrid-Score-Greedy(alpha=0.25),normalized_convergence_gap,3,0.0191464677,0.0080380469,23.3775609351,10.0000000000,0.0210425420,15348.8268714730,0.0000000000,0.0013247333
convergence_users,10,LP-Relax+Projection,normalized_convergence_gap,3,0.0188192148,0.0083299472,23.0006205770,10.0000000000,0.0202356571,1320.0000000000,0.0000000000,0.0022145668
convergence_users,10,Paper-Hungarian,normalized_convergence_gap,3,0.0188192148,0.0083299472,23.0006205770,10.0000000000,0.0202356571,1320.0000000000,0.0000000000,0.0000411000
convergence_users,10,Paper-OptUser-RandomRB,normalized_convergence_gap,3,0.4348224305,0.0403213366,519.0495824339,6.6666666667,0.1012490396,120.0000000000,0.0000000000,0.0000454666
convergence_users,10,Paper-RandomUserRB,normalized_convergence_gap,3,0.1208822876,0.0798957462,150.8728566855,10.0000000000,0.1061878656,120.0000000000,0.0000000000,0.0000257001
convergence_users,10,Paper-Wireless-PER,normalized_convergence_gap,3,0.0190975306,0.0081764472,23.3356776521,10.0000000000,0.0191001610,1320.0000000000,0.0000000000,0.0000152667
convergence_users,10,Soft-Entropy-KKT(tau=1),normalized_convergence_gap,3,0.0229324183,0.0076877869,27.7081985065,9.9999999985,0.0252460340,484120.0000000000,0.9999999292,0.0010448667
convergence_users,12,Continuous-LP(HiGHS),normalized_convergence_gap,3,0.0231300055,0.0088356339,32.1926632220,12.0000000000,0.0273609290,20880.0000000000,0.0000000000,0.0022628000
convergence_users,12,Hybrid-Score-Greedy(alpha=0.25),normalized_convergence_gap,3,0.0363163231,0.0149950873,50.4624411278,11.6666666667,0.0356097278,18456.4692002077,0.0000000000,0.0011918000
convergence_users,12,LP-Relax+Projection,normalized_convergence_gap,3,0.0231300055,0.0088356339,32.1926632220,12.0000000000,0.0273609290,1872.0000000000,0.0000000000,0.0024064667
convergence_users,12,Paper-Hungarian,normalized_convergence_gap,3,0.0231300055,0.0088356339,32.1926632220,12.0000000000,0.0273609290,1872.0000000000,0.0000000000,0.0000854667
convergence_users,12,Paper-OptUser-RandomRB,normalized_convergence_gap,3,0.4679299943,0.0450988910,638.8485461506,6.6666666667,0.0867037379,144.0000000000,0.0000000000,0.0000535333
convergence_users,12,Paper-RandomUserRB,normalized_convergence_gap,3,0.2106922075,0.0563998335,294.1365158875,11.0000000000,0.1369331603,144.0000000000,0.0000000000,0.0000299334
convergence_users,12,Paper-Wireless-PER,normalized_convergence_gap,3,0.0237822469,0.0092826042,33.1404662905,12.0000000000,0.0239269707,1872.0000000000,0.0000000000,0.0000171333
convergence_users,12,Soft-Entropy-KKT(tau=1),normalized_convergence_gap,3,0.0267587365,0.0080253912,37.0117314339,11.9938601568,0.0299982611,576144.0000000000,0.9999998637,0.0045815334
convergence_users,15,Continuous-LP(HiGHS),normalized_convergence_gap,3,0.0816683573,0.0075597841,130.9284831714,12.0000000000,0.0253400010,32580.0000000000,0.0000000000,0.0021791667
convergence_users,15,Hybrid-Score-Greedy(alpha=0.25),normalized_convergence_gap,3,0.0875330733,0.0103554657,139.8240970893,12.0000000000,0.0260069717,23128.5335573393,0.0000000000,0.0013071667
convergence_users,15,LP-Relax+Projection,normalized_convergence_gap,3,0.0816683573,0.0075597841,130.9284831714,12.0000000000,0.0253400010,2340.0000000000,0.0000000000,0.0028815667
convergence_users,15,Paper-Hungarian,normalized_convergence_gap,3,0.0816683573,0.0075597841,130.9284831714,12.0000000000,0.0253400010,2340.0000000000,0.0000000000,0.0000494000
convergence_users,15,Paper-OptUser-RandomRB,normalized_convergence_gap,3,0.4746988693,0.0969650786,756.7495704431,8.6666666667,0.0547106009,180.0000000000,0.0000000000,0.0000637666
convergence_users,15,Paper-RandomUserRB,normalized_convergence_gap,3,0.3249660938,0.0436979895,520.5424243971,11.6666666667,0.1826656299,180.0000000000,0.0000000000,0.0000296000
convergence_users,15,Paper-Wireless-PER,normalized_convergence_gap,3,0.2133580060,0.0621029074,332.2193457448,12.0000000000,0.0154992410,2340.0000000000,0.0000000000,0.0000213000
convergence_users,15,Soft-Entropy-KKT(tau=1),normalized_convergence_gap,3,0.0851050581,0.0073334733,136.3338867897,12.0000000000,0.0274706710,729180.0000000000,0.9999996900,0.0054747333
convergence_users,18,Continuous-LP(HiGHS),normalized_convergence_gap,3,0.1881711155,0.0249399038,346.7890278326,12.0000000000,0.0278735837,46872.0000000000,0.0000000000,0.0023061333
convergence_users,18,Hybrid-Score-Greedy(alpha=0.25),normalized_convergence_gap,3,0.1981547466,0.0208376837,365.0005681083,12.0000000000,0.0334096968,27811.0557004673,0.0000000000,0.0012773666
convergence_users,18,LP-Relax+Projection,normalized_convergence_gap,3,0.1881711155,0.0249399038,346.7890278326,12.0000000000,0.0278735837,2808.0000000000,0.0000000000,0.0027888666
convergence_users,18,Paper-Hungarian,normalized_convergence_gap,3,0.1881711155,0.0249399038,346.7890278326,12.0000000000,0.0278735837,2808.0000000000,0.0000000000,0.0000444000
convergence_users,18,Paper-OptUser-RandomRB,normalized_convergence_gap,3,0.5617929502,0.0166234200,1028.2478260363,8.6666666667,0.0920695437,216.0000000000,0.0000000000,0.0000616000
