scenario,x_value,seed,users,rbs,method,objective,objective_gap_pct,selected_users,expected_successful_samples,mean_packet_error,convergence_gap,fl_quality,runtime_seconds
users,10,11010,10,12,Hungarian,18.2890329423,0.0000000000,10,1314.7109670577,0.0124853216,18.2890329423,0.9862797952,0.0000746001
users,10,11010,10,12,Greedy-Cost,21.6017308764,18.1130295112,10,1311.3982691236,0.0147309446,21.6017308764,0.9837946505,0.0001218000
users,10,11010,10,12,LP-Relax+Projection,18.2890329423,0.0000000000,10,1314.7109670577,0.0124853216,18.2890329423,0.9862797952,0.0153531000
users,10,11010,10,12,Entropy-Relax(tau=0.1)+Greedy,20.3353833331,11.1889480288,10,1312.6646166669,0.0139633095,20.3353833331,0.9847446487,0.0065046999
users,10,11010,10,12,Entropy-Relax(tau=0.1)+Projection,18.2890329423,0.0000000000,10,1314.7109670577,0.0124853216,18.2890329423,0.9862797952,0.0072413000
users,10,11010,10,12,Entropy-Relax(tau=0.3)+Greedy,23.9999154725,31.2257217115,10,1309.0000845275,0.0157928695,23.9999154725,0.9819955623,0.0057865001
users,10,11010,10,12,Entropy-Relax(tau=0.3)+Projection,18.2890329423,0.0000000000,10,1314.7109670577,0.0124853216,18.2890329423,0.9862797952,0.0027341000
users,10,11010,10,12,Entropy-Relax(tau=0.8)+Greedy,23.9999154725,31.2257217115,10,1309.0000845275,0.0157928695,23.9999154725,0.9819955623,0.0025552000
users,10,11010,10,12,Entropy-Relax(tau=0.8)+Projection,18.2890329423,0.0000000000,10,1314.7109670577,0.0124853216,18.2890329423,0.9862797952,0.0024412000
users,10,11010,10,12,Hybrid-Score-Greedy(alpha=0.25),21.6017308764,18.1130295112,10,1311.3982691236,0.0147309446,21.6017308764,0.9837946505,0.0012828001
users,10,11011,10,12,Hungarian,13.0455433253,0.0000000000,10,1049.9544566747,0.0157379556,13.0455433253,0.9877276168,0.0001011000
users,10,11011,10,12,Greedy-Cost,15.8126642678,21.2112356952,10,1047.1873357322,0.0266444840,15.8126642678,0.9851244927,0.0001286999
users,10,11011,10,12,LP-Relax+Projection,13.0455433253,0.0000000000,10,1049.9544566747,0.0157379556,13.0455433253,0.9877276168,0.0023962000
users,10,11011,10,12,Entropy-Relax(tau=0.1)+Greedy,18.6794286011,43.1862831255,10,1044.3205713989,0.0279412448,18.6794286011,0.9824276307,0.0029455000
users,10,11011,10,12,Entropy-Relax(tau=0.1)+Projection,15.9069598437,21.9340540061,10,1047.0930401563,0.0173588209,15.9069598437,0.9850357857,0.0047270000
users,10,11011,10,12,Entropy-Relax(tau=0.3)+Greedy,15.1934414146,16.4646119801,10,1047.8065585854,0.0165487947,15.1934414146,0.9857070165,0.0033915000
users,10,11011,10,12,Entropy-Relax(tau=0.3)+Projection,13.0455433253,0.0000000000,10,1049.9544566747,0.0157379556,13.0455433253,0.9877276168,0.0028088000
users,10,11011,10,12,Entropy-Relax(tau=0.8)+Greedy,15.1934414146,16.4646119801,10,1047.8065585854,0.0165487947,15.1934414146,0.9857070165,0.0029942000
users,10,11011,10,12,Entropy-Relax(tau=0.8)+Projection,13.0455433253,0.0000000000,10,1049.9544566747,0.0157379556,13.0455433253,0.9877276168,0.0040264000
users,10,11011,10,12,Hybrid-Score-Greedy(alpha=0.25),15.8126642678,21.2112356952,10,1047.1873357322,0.0266444840,15.8126642678,0.9851244927,0.0017471999
users,10,11012,10,12,Hungarian,14.6152165042,0.0000000000,10,1129.3847834958,0.0133622604,14.6152165042,0.9872244611,0.0000531999
users,10,11012,10,12,Greedy-Cost,23.8374583178,63.1002750517,10,1120.1625416822,0.0250845373,23.8374583178,0.9791630609,0.0000724000
users,10,11012,10,12,LP-Relax+Projection,14.6152165042,0.0000000000,10,1129.3847834958,0.0133622604,14.6152165042,0.9872244611,0.0084483000
users,10,11012,10,12,Entropy-Relax(tau=0.1)+Greedy,15.4548237844,5.7447474684,10,1128.5451762156,0.0143876460,15.4548237844,0.9864905387,0.0125381000
users,10,11012,10,12,Entropy-Relax(tau=0.1)+Projection,15.4548237844,5.7447474684,10,1128.5451762156,0.0143876460,15.4548237844,0.9864905387,0.0142480000
users,10,11012,10,12,Entropy-Relax(tau=0.3)+Greedy,15.4548237844,5.7447474684,10,1128.5451762156,0.0143876460,15.4548237844,0.9864905387,0.0183733000
users,10,11012,10,12,Entropy-Relax(tau=0.3)+Projection,15.4548237844,5.7447474684,10,1128.5451762156,0.0143876460,15.4548237844,0.9864905387,0.0160090000
users,10,11012,10,12,Entropy-Relax(tau=0.8)+Greedy,14.7813809230,1.1369275213,10,1129.2186190770,0.0136245058,14.7813809230,0.9870792125,0.0074634000
users,10,11012,10,12,Entropy-Relax(tau=0.8)+Projection,14.6152165042,0.0000000000,10,1129.3847834958,0.0133622604,14.6152165042,0.9872244611,0.0203735000
users,10,11012,10,12,Hybrid-Score-Greedy(alpha=0.25),20.3946129532,39.5436937061,10,1123.6053870468,0.0240100975,20.3946129532,0.9821725411,0.0145870000
users,10,11013,10,12,Hungarian,17.0736649017,0.0000000000,10,760.9263350983,0.0257899753,17.0736649017,0.9780544153,0.0000518999
users,10,11013,10,12,Greedy-Cost,20.7725998500,21.6645633470,10,757.2274001500,0.0324617356,20.7725998500,0.9733000002,0.0000598000
users,10,11013,10,12,LP-Relax+Projection,17.0736649017,0.0000000000,10,760.9263350983,0.0257899753,17.0736649017,0.9780544153,0.0024582000
users,10,11013,10,12,Entropy-Relax(tau=0.1)+Greedy,18.8066717118,10.1501746701,10,759.1933282882,0.0279555317,18.8066717118,0.9758269001,0.0043197999
users,10,11013,10,12,Entropy-Relax(tau=0.1)+Projection,20.2413606309,18.5531094084,10,757.7586393691,0.0290991716,20.2413606309,0.9739828270,0.0026308000
users,10,11013,10,12,Entropy-Relax(tau=0.3)+Greedy,18.8066717118,10.1501746701,10,759.1933282882,0.0279555317,18.8066717118,0.9758269001,0.0042406000
users,10,11013,10,12,Entropy-Relax(tau=0.3)+Projection,17.0922381148,0.1087828139,10,760.9077618852,0.0263617989,17.0922381148,0.9780305423,0.0080528001
users,10,11013,10,12,Entropy-Relax(tau=0.8)+Greedy,18.8066717118,10.1501746701,10,759.1933282882,0.0279555317,18.8066717118,0.9758269001,0.0074893000
users,10,11013,10,12,Entropy-Relax(tau=0.8)+Projection,17.0922381148,0.1087828139,10,760.9077618852,0.0263617989,17.0922381148,0.9780305423,0.0060905000
users,10,11013,10,12,Hybrid-Score-Greedy(alpha=0.25),20.7725998500,21.6645633470,10,757.2274001500,0.0324617356,20.7725998500,0.9733000002,0.0046156000
users,10,11014,10,12,Hungarian,11.6871214405,0.0000000000,10,994.3128785595,0.0162237556,11.6871214405,0.9883825831,0.0000563001
users,10,11014,10,12,Greedy-Cost,17.8179457626,52.4579500030,10,988.1820542374,0.0270911767,17.8179457626,0.9822883243,0.0000674999
users,10,11014,10,12,LP-Relax+Projection,11.6871214405,0.0000000000,10,994.3128785595,0.0162237556,11.6871214405,0.9883825831,0.0032924999
users,10,11014,10,12,Entropy-Relax(tau=0.1)+Greedy,12.1112545278,3.6290637474,10,993.8887454722,0.0165468354,12.1112545278,0.9879609796,0.0054178000
users,10,11014,10,12,Entropy-Relax(tau=0.1)+Projection,11.6871214405,0.0000000000,10,994.3128785595,0.0162237556,11.6871214405,0.9883825831,0.0077992000
users,10,11014,10,12,Entropy-Relax(tau=0.3)+Greedy,13.9803944165,19.6222225267,10,992.0196055835,0.0165388260,13.9803944165,0.9861029877,0.0057231000
users,10,11014,10,12,Entropy-Relax(tau=0.3)+Projection,11.6871214405,0.0000000000,10,994.3128785595,0.0162237556,11.6871214405,0.9883825831,0.0066518000
users,10,11014,10,12,Entropy-Relax(tau=0.8)+Greedy,13.9803944165,19.6222225267,10,992.0196055835,0.0165388260,13.9803944165,0.9861029877,0.0091316000
users,10,11014,10,12,Entropy-Relax(tau=0.8)+Projection,11.6871214405,0.0000000000,10,994.3128785595,0.0162237556,11.6871214405,0.9883825831,0.0071957001
users,10,11014,10,12,Hybrid-Score-Greedy(alpha=0.25),17.8179457626,52.4579500030,10,988.1820542374,0.0270911767,17.8179457626,0.9822883243,0.0033763000
users,15,11515,15,12,Hungarian,137.3194065996,0.0000000000,12,1619.6805934004,0.0168618249,137.3194065996,0.9218443901,0.0001134000
users,15,11515,15,12,Greedy-Cost,173.2581564181,26.1716466073,12,1583.7418435819,0.0496033234,173.2581564181,0.9013897801,0.0003854000
users,15,11515,15,12,LP-Relax+Projection,137.3194065996,0.0000000000,12,1619.6805934004,0.0168618249,137.3194065996,0.9218443901,0.0057698000
users,15,11515,15,12,Entropy-Relax(tau=0.1)+Greedy,234.8418110773,71.0186614497,12,1522.1581889227,0.0216237358,234.8418110773,0.8663393221,0.0069409000
users,15,11515,15,12,Entropy-Relax(tau=0.1)+Projection,232.0040172538,68.9520971571,12,1524.9959827462,0.0201894330,232.0040172538,0.8679544580,0.0063195000
users,15,11515,15,12,Entropy-Relax(tau=0.3)+Greedy,232.4438471565,69.2723941302,12,1524.5561528435,0.0205814411,232.4438471565,0.8677041280,0.0047147999
users,15,11515,15,12,Entropy-Relax(tau=0.3)+Projection,232.0040172538,68.9520971571,12,1524.9959827462,0.0201894330,232.0040172538,0.8679544580,0.0029579001
users,15,11515,15,12,Entropy-Relax(tau=0.8)+Greedy,232.4438471565,69.2723941302,12,1524.5561528435,0.0205814411,232.4438471565,0.8677041280,0.0037727001
users,15,11515,15,12,Entropy-Relax(tau=0.8)+Projection,232.0040172538,68.9520971571,12,1524.9959827462,0.0201894330,232.0040172538,0.8679544580,0.0026900000
users,15,11515,15,12,Hybrid-Score-Greedy(alpha=0.25),141.2923189841,2.8931907608,12,1615.7076810159,0.0181277615,141.2923189841,0.9195831992,0.0019904000
users,15,11516,15,12,Hungarian,140.7693123741,0.0000000000,12,1396.2306876259,0.0217169105,140.7693123741,0.9084129392,0.0000576000
users,15,11516,15,12,Greedy-Cost,154.4362169835,9.7087244222,12,1382.5637830165,0.0371961913,154.4362169835,0.8995210039,0.0000737000
users,15,11516,15,12,LP-Relax+Projection,140.7693123741,0.0000000000,12,1396.2306876259,0.0217169105,140.7693123741,0.9084129392,0.0036242000
users,15,11516,15,12,Entropy-Relax(tau=0.1)+Greedy,191.5407946972,36.0671523265,12,1345.4592053028,0.0310125242,191.5407946972,0.8753800945,0.0047676001
