scenario,x_value,method,runs,objective_mean,objective_gap_pct_mean,selected_users_mean,expected_successful_samples_mean,mean_packet_error_mean,convergence_gap_mean,fl_quality_mean,runtime_seconds_mean,runtime_seconds_std
rbs,5,Entropy-Relax(tau=0.1)+Greedy,5,1082.7944200679,23.8839760382,5.0000000000,592.6055799321,0.0402634570,1082.7944200679,0.3576513193,0.0037080799,0.0004067123
rbs,5,Entropy-Relax(tau=0.1)+Projection,5,1082.7944200679,23.8839760382,5.0000000000,592.6055799321,0.0402634570,1082.7944200679,0.3576513193,0.0043653400,0.0011774058
rbs,5,Entropy-Relax(tau=0.3)+Greedy,5,970.3200037593,11.2197696306,5.0000000000,705.0799962407,0.0465579838,970.3200037593,0.4238310562,0.0041107400,0.0008847216
rbs,5,Entropy-Relax(tau=0.3)+Projection,5,981.3367440957,12.5211885985,5.0000000000,694.0632559043,0.0448312172,981.3367440957,0.4172046230,0.0037812800,0.0012597825
rbs,5,Entropy-Relax(tau=0.8)+Greedy,5,950.2462036017,8.5291033353,5.0000000000,725.1537963983,0.0459850359,950.2462036017,0.4369452717,0.0042933600,0.0018835535
rbs,5,Entropy-Relax(tau=0.8)+Projection,5,968.9316032630,11.0937551811,5.0000000000,706.4683967370,0.0470143287,968.9316032630,0.4247596287,0.0048201200,0.0012709482
rbs,5,Greedy-Cost,5,887.2212435856,1.3739616540,5.0000000000,788.1787564144,0.0480027998,887.2212435856,0.4740020110,0.0000487400,0.0000055709
rbs,5,Hungarian,5,875.7528962328,0.0000000000,5.0000000000,799.6471037672,0.0395855367,875.7528962328,0.4810073599,0.0000452000,0.0000048879
rbs,5,Hybrid-Score-Greedy(alpha=0.25),5,882.6078666080,0.8362271773,5.0000000000,792.7921333920,0.0428079714,882.6078666080,0.4768328747,0.0019247400,0.0005444893
rbs,5,LP-Relax+Projection,5,875.7528962328,0.0000000000,5.0000000000,799.6471037672,0.0395855367,875.7528962328,0.4810073599,0.0026248800,0.0006393015
rbs,9,Entropy-Relax(tau=0.1)+Greedy,5,498.4214834045,51.5965012037,9.0000000000,1015.1785165955,0.0306128097,498.4214834045,0.6745314901,0.0041264200,0.0010313007
rbs,9,Entropy-Relax(tau=0.1)+Projection,5,474.8379295356,44.0060357640,9.0000000000,1038.7620704644,0.0300989147,474.8379295356,0.6890965174,0.0036777800,0.0010425552
